eventName,technique
"ConsoleLogin","TA0001"
"GetFederationToken","TA0001"
"StartSession","TA0001"
"ResumeSession","TA0001"
"GetAuthorizationToken","TA0001"
"RunInstances","TA0002"
"CreateInstance","TA0003"
"CreateKeyPair","TA0003"
"CreateImage","TA0003"
"CreateRepository","TA0003"
"PullImage","TA0003"
"CreateUser","TA0003"
"CreateRole","TA0003"
"CreateAccessKey","TA0003"
"AttachUserPolicy","TA0003"
"CreateLoginProfile","TA0003"
"UpdateLoginProfile","TA0003"
"AddPermission20150331","TA0003"
"AddPermission20150331v2","TA0003"
"UpdateFunctionCode","TA0003"
"UpdateFunctionCode20150331v2","TA0003"
"CreateTrustAnchor","TA0003"
"CreateFunction","TA0003"
"AssumeRole","TA0004"
"CreateTag","TA0004"
"UpdateProfile","TA0004"
"PutUserPolicy","TA0004"
"AddUserToGroup","TA0004"
"PutGroupPolicy","TA0004"
"CreateGroup","TA0004"
"CreateInstanceProfile","TA0004"
"AttachRolePolicy","TA0004"
"PutRolePolicy","TA0004"
"CreatePolicy","TA0004"
"CreatePolicyVersion","TA0004"
"UpdateAssumeRolePolicy","TA0004"
"UpdateFunctionConfiguration","TA0004"
"DeleteTrail","TA0005"
"PutEventSelectors","TA0005"
"StopLogging","TA0005"
"LeaveOrganization","TA0005"
"DeleteFlowLogs","TA0005"
"DeleteVpc","TA0005"
"GetPasswordData","TA0006"
"GetSecretValue","TA0006"
"GetParameter","TA0006"
"GetParameters","TA0006"
"GetConsoleScreenshot","TA0009"
"GetConsoleOutput","TA0009"
"CopyObject","TA0009"
"GetObject","TA0009"
"ListSecrets","TA0009"
"ModifySnapshotAttribute","TA0010"
"ModifyImageAttribute","TA0010"
"PutBucketPolicy","TA0010"
"PutBucketAcl","TA0010"
"RestoreDBInstanceFromDBSnapshot","TA0010"